timestamp,action,pb,pg,gt,soe_now,soe_new,solver_ok,solver_status,solver_error,import_price,export_price,c_bat_deg
2020-07-20 00:00:00+00:00,0.1764280084877916,0.1764280084877916,1.0251438878339236e-07,0.1764281110021804,4.0,3.954992854977604,True,ok,,0.2,0.07,0.084
2020-07-20 00:15:00+00:00,0.1963472306731292,0.1963472306731292,1.0251439866437728e-07,0.19634733318752787,3.954992854977604,3.9049042757242547,True,ok,,0.2,0.07,0.084
2020-07-20 00:30:00+00:00,0.17149200922148938,0.17149200922148938,1.0251438459230044e-07,0.17149211173587398,3.9049042757242547,3.8611563141881606,True,ok,,0.2,0.07,0.084
2020-07-20 00:45:00+00:00,0.20165407449194223,0.20165407449194223,3.719010202574147e-08,0.20165411168204425,3.8611563141881606,3.8097139482463387,True,ok,,0.2,0.07,0.084
2020-07-20 01:00:00+00:00,0.15974234290144557,0.15974234290144557,1.0251447496445465e-07,0.15974244541592053,3.8097139482463387,3.7689633505673985,True,ok,,0.2,0.07,0.084
2020-07-20 01:15:00+00:00,0.296333564255136,0.296333564255136,1.0251452697840335e-07,0.296333666769663,3.7689633505673985,3.693368053563537,True,ok,,0.2,0.07,0.084
2020-07-20 01:30:00+00:00,0.15450367518023322,0.15450367518023322,1.0251446966313971e-07,0.1545037776947029,3.693368053563537,3.653953850711437,True,ok,,0.2,0.07,0.084
2020-07-20 01:45:00+00:00,0.19400134261998872,0.19400134261998872,1.0251449270026747e-07,0.19400144513448142,3.653953850711437,3.6044637122879704,True,ok,,0.2,0.07,0.084
2020-07-20 02:00:00+00:00,0.23766323082683505,0.23766323082683505,1.0251497531421627e-07,0.23766333334181036,3.6044637122879704,3.5438353370770432,True,ok,,0.2,0.07,0.084
2020-07-20 02:15:00+00:00,0.28488867509070526,0.28488867509070526,1.0251498755442512e-07,0.2848887776056928,3.5438353370770432,3.471159654655945,True,ok,,0.2,0.07,0.084
2020-07-20 02:30:00+00:00,0.2617426758922223,0.2617426758922223,1.0251498078206467e-07,0.26174277840720306,3.471159654655945,3.404388563867113,True,ok,,0.2,0.07,0.084
2020-07-20 02:45:00+00:00,0.28138645222422515,0.28138645222422515,1.0251498516744562e-07,0.2813865547392103,3.404388563867113,3.3326063056466473,True,ok,,0.2,0.07,0.084
2020-07-20 03:00:00+00:00,0.24214369615822506,0.24214369615822506,8.186920338881798e-08,0.24214377802742845,3.3326063056466473,3.2708349545858755,True,ok,,0.2,0.07,0.084
2020-07-20 03:15:00+00:00,0.2879375866344473,0.2879375866344473,8.186920807951026e-08,0.2879376685036554,3.2708349545858755,3.1973814886077,True,ok,,0.2,0.07,0.084
2020-07-20 03:30:00+00:00,0.24760714046534105,0.24760714046534105,8.186920327779568e-08,0.24760722233454432,3.1973814886077,3.134216401754297,True,ok,,0.2,0.07,0.084
2020-07-20 03:45:00+00:00,0.23065939132372693,0.23065939132372693,2.256680250445342e-07,0.23065961699175197,3.134216401754297,3.0753747202941626,True,ok,,0.2,0.07,0.084
2020-07-20 04:00:00+00:00,0.17807837284848746,0.17807837284848746,-5.14641276816441e-09,0.1780783677020747,3.0753747202941626,3.0299465639552627,True,ok,,0.3,0.1,0.084
2020-07-20 04:15:00+00:00,0.03467583705701202,0.03467583705701202,-5.146443687875646e-09,0.03467583191056833,3.0299465639552627,3.0211006871550046,True,ok,,0.3,0.1,0.084
2020-07-20 04:30:00+00:00,0.13735115499555797,0.13735115499555797,-5.146415210655064e-09,0.13735114984914276,3.0211006871550046,2.986062127207158,True,ok,,0.3,0.1,0.084
2020-07-20 04:45:00+00:00,-0.018237635279082964,-0.018237635279082964,-0.03991714187689882,-0.05815477715598179,2.986062127207158,2.9905303478505334,True,ok,,0.3,0.1,0.084
2020-07-20 05:00:00+00:00,-0.022877491016235207,-0.022877491016235207,-0.06328627182285206,-0.08616376283908726,2.9905303478505334,2.996135333149511,True,ok,,0.3,0.1,0.084
2020-07-20 05:15:00+00:00,-0.030553796571395144,-0.030553796571395144,-0.2118424286281765,-0.24239622519957166,2.996135333149511,3.0036210133095027,True,ok,,0.3,0.1,0.084
2020-07-20 05:30:00+00:00,0.07724472469338506,0.07724472469338506,-5.146420511970007e-09,0.07724471954696455,3.0036210133095027,2.983915726397925,True,ok,,0.3,0.1,0.084
2020-07-20 05:45:00+00:00,-0.003278358520070381,-0.003278358520070381,-0.003609990308898971,-0.006888348828969352,2.983915726397925,2.9847189242353425,True,ok,,0.3,0.1,0.084
