timestamp,action,pb,pg,gt,soe_now,soe_new,pb_mpc,pg_mpc,solver_ok,solver_status,solver_error,import_price,export_price,c_bat_deg
2020-07-20 05:00:00+00:00,0.2376445045998563,0.2376445045998563,-0.4508199860924799,-0.2131754814926236,4.075035541464439,3.832541149015606,-2.3390752006629114e-07,-0.4508199860924799,True,ok,,0.3,0.1,0.084
2020-07-20 06:00:00+00:00,0.41720733993438747,0.41720733993438747,-0.88009976609239,-0.4628924261580026,3.832541149015606,3.4068193735723535,-2.3390760992741824e-07,-0.88009976609239,True,ok,,0.3,0.1,0.084
2020-07-20 07:00:00+00:00,1.0087400732403007,1.0087400732403007,-1.4386871660923086,-0.4299470928520079,3.4068193735723535,2.3774927682251077,-2.3390769139611495e-07,-1.4386871660923086,True,ok,,0.3,0.1,0.084
2020-07-20 08:00:00+00:00,1.2233961149209513,1.2233961149209513,-1.7915297660921936,-0.5681336511712423,2.3774927682251077,1.1291293856527083,-2.3390780654464093e-07,-1.7915297660921936,True,ok,,0.3,0.1,0.084
2020-07-20 09:00:00+00:00,0.5587730213457347,0.5587730213457347,-1.7963901660915287,-1.237617144745794,1.1291293856527083,0.5589528332591014,-2.33908471215941e-07,-1.7963901660915287,True,ok,,0.3,0.1,0.084
2020-07-20 10:00:00+00:00,0.4702670342190327,0.4702670342190327,-1.9060762783276897,-1.435809244108657,0.5589528332591014,0.07908851262743533,-0.4811107216723103,-1.9060762783276897,True,ok,,0.3,0.1,0.084
2020-07-20 11:00:00+00:00,0.07750674237488661,0.07750674237488661,-1.5459421744624853,-1.4684354320875987,0.07908851262743533,0.0,-0.5418166231282847,-2.1726477768717154,True,ok,,0.3,0.1,0.084
2020-07-20 12:00:00+00:00,-1.5996575820019316,-1.5996575820019316,-1.7742110576901045,-3.373868639692036,0.0,1.567664430361893,-1.1621117423098957,-1.7742110576901045,True,ok,,0.3,0.1,0.084
2020-07-20 13:00:00+00:00,0.12089032891741835,0.12089032891741835,-3.4687785083435934,-3.347888179426175,1.567664430361893,1.4443069518747313,-0.06474049165640632,-3.4687785083435934,True,ok,,0.3,0.1,0.084
2020-07-20 14:00:00+00:00,-0.3733153812153476,-0.3733153812153476,-3.1431047660903566,-3.516420147305704,1.4443069518747313,1.810156025465772,-2.3390964301649346e-07,-3.1431047660903566,True,ok,,0.3,0.1,0.084
2020-07-20 15:00:00+00:00,-0.5429365791541039,-0.5429365791541039,-2.361327089619536,-2.90426366877364,1.810156025465772,2.3422338730367938,8.961953575611304e-08,-2.361327089619536,True,ok,,0.4,0.18,0.084
2020-07-20 16:00:00+00:00,1.0652321881638989,1.0652321881638989,-1.7024652700364258,-0.6372330818725269,2.3422338730367938,1.2552622524613868,0.005923670036425814,-1.7024652700364258,True,ok,,0.4,0.18,0.084
2020-07-20 17:00:00+00:00,0.3558760480071929,0.3558760480071929,-0.6986909896189762,-0.34281494161178333,1.2552622524613868,0.8921234279642511,8.961897618405828e-08,-0.6986909896189762,True,ok,,0.4,0.18,0.084
2020-07-20 18:00:00+00:00,0.4264516259129456,0.4264516259129456,-0.3603887296186076,0.06606289629433805,0.8921234279642511,0.45696870764491887,8.961860759405726e-08,-0.3603887296186076,True,ok,,0.4,0.18,0.084
2020-07-20 19:00:00+00:00,-0.016243109535123118,-0.016243109535123118,0.1560747770964897,0.13983166756136658,0.45696870764491887,0.4728869549893395,-0.018532477096489707,0.1560747770964897,True,ok,,0.2,0.07,0.084
2020-07-20 20:00:00+00:00,-0.03373416434566562,-0.03373416434566562,0.13202802548581097,0.09829386114014535,0.4728869549893395,0.5059464360480919,0.01438231451418902,0.13202802548581097,True,ok,,0.2,0.07,0.084
2020-07-20 21:00:00+00:00,0.07691937389883959,0.07691937389883959,0.1110750982471946,0.18799447214603418,0.5059464360480919,0.42745727900845965,0.03980906175280541,0.1110750982471946,True,ok,,0.2,0.07,0.084
2020-07-20 22:00:00+00:00,0.06942761843404224,0.06942761843404224,-3.525615781263536e-08,0.06942758317788443,0.42745727900845965,0.3566127704022941,-0.025843592743842188,-3.5256157813907635e-08,True,ok,,0.2,0.07,0.084
2020-07-20 23:00:00+00:00,0.13155082144890035,0.13155082144890035,-9.90326583238943e-08,0.13155072241624202,0.3566127704022941,0.22237723831157946,-0.24665609096734167,-9.903265832653681e-08,True,ok,,0.2,0.07,0.084
2020-07-21 00:00:00+00:00,0.10602763545111088,0.10602763545111088,2.25675153023297e-07,0.1060278611262639,0.22237723831157946,0.11418577356554795,0.05573768932484697,2.256751530294215e-07,True,ok,,0.2,0.07,0.084
2020-07-21 01:00:00+00:00,0.0025920544032869003,0.0025920544032869003,0.09812008457270435,0.10071213897599125,0.11418577356554795,0.1115408200928062,-0.0013298645727043484,0.09812008457270435,True,ok,,0.2,0.07,0.084
2020-07-21 02:00:00+00:00,0.01262088236589573,0.01262088236589573,0.18554145105104322,0.19816233341693895,0.1115408200928062,0.09866236869903505,-0.10842292105104322,0.18554145105104322,True,ok,,0.2,0.07,0.084
2020-07-21 03:00:00+00:00,-0.061307237026741845,-0.061307237026741845,0.1352682983661933,0.07396106133945146,0.09866236869903505,0.15874346098524206,0.022596081633806706,0.1352682983661933,True,ok,,0.2,0.07,0.084
2020-07-21 04:00:00+00:00,-0.026599017412191065,-0.026599017412191065,-1.0441350704187835e-08,-0.02659902785354177,0.15874346098524206,0.1848104980491893,0.005537241841350703,-1.044135070350939e-08,True,ok,,0.3,0.1,0.084
2020-07-21 05:00:00+00:00,-0.12244041210218082,-0.12244041210218082,-0.3136671961806138,-0.4361076082827946,0.1848104980491893,0.3048021019093265,-0.14976456381938621,-0.3136671961806138,True,ok,,0.3,0.1,0.084
2020-07-21 06:00:00+00:00,-0.8861186387269349,-0.8861186387269349,-0.8152810986131627,-1.7013997373400975,0.3048021019093265,1.1731983678617226,-0.1209828013868374,-0.8152810986131627,True,ok,,0.3,0.1,0.084
2020-07-21 07:00:00+00:00,-2.8834440288494374,-2.8834440288494374,0.0,-2.8834440288494374,1.1731983678617226,3.9989735161341713,0.0,0.0,False,error1,fallback_decision,0.3,0.1,0.084
2020-07-21 08:00:00+00:00,-0.476242765858776,-0.476242765858776,-2.7343481660924476,-3.2105909319512236,3.9989735161341713,4.465691426675772,-2.3390755228510954e-07,-2.7343481660924476,True,ok,,0.3,0.1,0.084
2020-07-21 09:00:00+00:00,-0.4486839080297793,-0.4486839080297793,-3.575183566092469,-4.023867474122248,4.465691426675772,4.905401656544956,-2.3390753085319664e-07,-3.575183566092469,True,ok,,0.3,0.1,0.084
2020-07-21 10:00:00+00:00,-0.06907457404371442,-0.06907457404371442,-4.068333466092499,-4.137408040136213,4.905401656544956,4.973094739107796,-2.3390750166611012e-07,-4.068333466092499,True,ok,,0.3,0.1,0.084
2020-07-21 11:00:00+00:00,1.0193296136138232,1.0193296136138232,-4.257123266092495,-3.2377936524786715,4.973094739107796,3.9329624803181806,-2.3390750505009613e-07,-4.257123266092495,True,ok,,0.3,0.1,0.084
2020-07-21 12:00:00+00:00,1.6697900030122317,1.6697900030122317,-4.408643366092457,-2.7388533630802256,3.9329624803181806,2.2290951303056996,-2.3390754304471888e-07,-4.408643366092457,True,ok,,0.3,0.1,0.084
2020-07-21 13:00:00+00:00,-1.0153432086946856,-1.0153432086946856,-3.9192570660922272,-4.934600274786913,2.2290951303056996,3.2241314748264918,-2.3390777336951318e-07,-3.9192570660922272,True,ok,,0.3,0.1,0.084
2020-07-21 14:00:00+00:00,-1.3797760691143406,-1.3797760691143406,-2.188352266092104,-3.5681283352064446,3.2241314748264918,4.576312022558545,-2.339078963673479e-07,-2.188352266092104,True,ok,,0.3,0.1,0.084
2020-07-21 15:00:00+00:00,-0.3848647100890794,-0.3848647100890794,-2.10202278785979,-2.4868874979488695,4.576312022558545,4.953479438445843,0.3588960878597902,-2.10202278785979,True,ok,,0.4,0.18,0.084
2020-07-21 16:00:00+00:00,0.8108756265064307,0.8108756265064307,-1.5735492509732742,-0.7626736244668435,4.953479438445843,4.126055329765812,0.2241057509732743,-1.5735492509732742,True,ok,,0.4,0.18,0.084
2020-07-21 17:00:00+00:00,0.39490753421306846,0.39490753421306846,-0.640628151109559,-0.24572061689649052,4.126055329765812,3.7230884581198236,0.14095792110955896,-0.640628151109559,True,ok,,0.4,0.18,0.084
2020-07-21 18:00:00+00:00,0.3834319320490766,0.3834319320490766,-0.3509767696237431,0.03245516242533351,3.7230884581198236,3.3318313846003575,0.1761042696237431,-0.3509767696237431,True,ok,,0.4,0.18,0.084
2020-07-21 19:00:00+00:00,0.12863854974922867,0.12863854974922867,1.0251433590902082e-07,0.12863865226356458,3.3318313846003575,3.2005675583256346,0.2696703674856641,1.0251433590610006e-07,True,ok,,0.2,0.07,0.084
2020-07-21 20:00:00+00:00,0.1698107863881434,0.1698107863881434,1.0251420290430246e-07,0.1698108889023463,3.2005675583256346,3.0272912456846717,0.07954127748579709,1.0251420291790693e-07,True,ok,,0.2,0.07,0.084
2020-07-21 21:00:00+00:00,0.10456625852624137,0.10456625852624137,1.0251429777285992e-07,0.10456636104053914,3.0272912456846717,2.9205909818823845,0.1659123074857022,1.0251429777121755e-07,True,ok,,0.2,0.07,0.084
2020-07-21 22:00:00+00:00,0.10231342539798431,0.10231342539798431,1.025145791727633e-07,0.10231352791256348,2.9205909818823845,2.8161895273946453,0.3914204274854208,1.0251457917691732e-07,True,ok,,0.2,0.07,0.084
2020-07-21 23:00:00+00:00,0.13832484184144206,0.13832484184144206,1.0251431070695816e-07,0.13832494435575277,2.8161895273946453,2.6750417295972553,0.3287656474856893,1.0251431071321909e-07,True,ok,,0.2,0.07,0.084
