timestamp,action,pb,pg,gt,soe_now,soe_new,pb_mpc,pg_mpc,solver_ok,solver_status,solver_error,import_price,export_price,c_bat_deg
2020-07-20 04:00:00+00:00,0.31601174510778973,0.31601174510778973,-1.0441292719320927e-08,0.316011734666497,4.0,3.999104275098901,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:00:10+00:00,0.31913795005884243,0.31913795005884243,-1.0441292719320927e-08,0.3191379396175497,3.999104275098901,3.998199689072657,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:00:20+00:00,0.31907071230349515,0.31907071230349515,-1.0441292719320927e-08,0.31907070186220243,3.998199689072657,3.99729529362962,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:00:30+00:00,0.3142289824816711,0.3142289824816711,-1.0441292719320927e-08,0.31422897204037836,3.99729529362962,3.9964046219105676,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:00:40+00:00,0.3155434697416317,0.3155434697416317,-1.0441292719320927e-08,0.315543459300339,3.9964046219105676,3.995510224320597,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:00:50+00:00,0.3125717483884238,0.3125717483884238,-1.0441292719320927e-08,0.31257173794713106,3.995510224320597,3.9946242499770923,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:01:00+00:00,0.3141544911781204,0.3141544911781204,-1.0441292719320927e-08,0.31415448073682767,3.9946242499770923,3.9937337894011904,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:01:10+00:00,0.31073001284455576,0.31073001284455576,-1.0441292719320927e-08,0.31073000240326304,3.9937337894011904,3.992853035396529,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:01:20+00:00,0.3116700019345197,0.3116700019345197,-1.0441292719320927e-08,0.311669991493227,3.992853035396529,3.991969617023699,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:01:30+00:00,0.3105900058255117,0.3105900058255117,-1.0441292719320927e-08,0.310589995384219,3.991969617023699,3.9910892598643297,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:01:40+00:00,0.31111725506309607,0.31111725506309607,-1.0441292719320927e-08,0.31111724462180335,3.9910892598643297,3.9902074082343324,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:01:50+00:00,0.3136200179562477,0.3136200179562477,-1.0441292719320927e-08,0.313620007514955,3.9902074082343324,3.9893184626052047,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:02:00+00:00,0.31207552257098004,0.31207552257098004,-1.0441292719320927e-08,0.3120755121296873,3.9893184626052047,3.988433894797464,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:02:10+00:00,0.3091710542319073,0.3091710542319073,-1.0441292719320927e-08,0.3091710437906146,3.988433894797464,3.9875575596097317,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:02:20+00:00,0.3062310317633503,0.3062310317633503,-1.0441292719320927e-08,0.3062310213220576,3.9875575596097317,3.986689557819019,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:02:30+00:00,0.30753000635956573,0.30753000635956573,-1.0441292719320927e-08,0.307529995918273,3.986689557819019,3.9858178741275236,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:02:40+00:00,0.30451380011151297,0.30451380011151297,-1.0441292719320927e-08,0.30451378967022025,3.9858178741275236,3.984954739773466,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:02:50+00:00,0.3036993290640113,0.3036993290640113,-1.0441292719320927e-08,0.3036993186227186,3.984954739773466,3.984093914010813,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:03:00+00:00,0.3013448246760636,0.3013448246760636,-1.0441292719320927e-08,0.3013448142347709,3.984093914010813,3.9832397620134317,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:03:10+00:00,0.30440931861173925,0.30440931861173925,-1.0441292719320927e-08,0.30440930817044654,3.9832397620134317,3.98237692380875,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:03:20+00:00,0.23150759886071728,0.23150759886071728,-1.0441292719320927e-08,0.23150758841942456,3.98237692380875,3.981720723131707,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:03:30+00:00,0.22960586480456824,0.22960586480456824,-1.0441292719320927e-08,0.22960585436327552,3.981720723131707,3.981069912857318,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:03:40+00:00,0.2322658636983093,0.2322658636983093,-1.0441292719320927e-08,0.23226585325701657,3.981069912857318,3.9804115629035244,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:03:50+00:00,0.23063034351961295,0.23063034351961295,-1.0441292719320927e-08,0.23063033307832023,3.9804115629035244,3.979757848777902,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:04:00+00:00,0.23480931250822928,0.23480931250822928,-1.0441292719320927e-08,0.23480930206693656,3.979757848777902,3.979092289502085,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:04:10+00:00,0.22724862899471393,0.22724862899471393,-1.0441292719320927e-08,0.2272486185534212,3.979092289502085,3.9784481607350934,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:04:20+00:00,0.22753795444574146,0.22753795444574146,-1.0441292719320927e-08,0.22753794400444874,3.9784481607350934,3.977803211884624,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
2020-07-20 04:04:30+00:00,0.22608965474181747,0.22608965474181747,-1.0441292719320927e-08,0.22608964430052475,3.977803211884624,3.977162368192045,0.04095680027618105,-1.0441292720688993e-08,True,ok,,0.3,0.1,0.084
